content_source,id,likes,reach,saved,views,shares,follows,comments,replies,profile_visits,total_interactions
media,17867784885483509,163,8255,2,10562,5,,10,,,182
media,17867813283447654,70,9012,1,15388,41,,0,,,112
media,17868508578392553,485,3989,5,17026,4,5,3,,29,497
media,17868612633533669,2395,24644,14,52828,61,20,53,,379,2545
media,17868697257459572,4147,0,54,0,65,0,25,,129,4491
media,17869179759493385,2572,45133,15,156826,51,2,29,,92,2676
media,17869200816476583,3027,34719,8,93287,37,6,36,,133,3125
media,17869714083460353,252,11541,3,18678,11,3,8,,41,278
media,17869821144480490,1001,30940,12,57987,16,,13,,,1059
media,17869963215475926,4407,84547,22,160953,75,,21,,,4555
media,17870154900552739,11061,110150,70,316728,26,4,27,,121,11242
media,17870233746499936,854,29455,8,46393,8,,19,,,891
media,17871062625471398,2336,45179,6,155601,42,1,15,,261,2399
media,17871098529462287,409,29362,1,49935,6,,1,,,417
media,17871337638468780,2856,72863,58,111801,43,,41,,,3003
media,17871426456384871,231,15349,3,24779,8,1,24,,24,266
media,17871531729225304,1444,6165,7,8554,21,,24,,,1496
media,17871916635516823,319,18021,0,49759,6,3,0,,117,325
media,17872201836343054,329,14281,12,18554,11,,33,,,385
media,17872255605319721,536,10419,9,14863,3,0,8,,46,556
media,17872405338550035,6752,76803,173,140569,51,,22,,,7086
media,17872923816243000,6665,53532,22,70407,307,16,63,,208,7057
media,17872928985448534,446,41470,7,65222,9,,9,,,476
media,17873336202347462,437,14467,8,20906,10,,17,,,472
media,17873396820394319,1963,29862,6,61733,8,17,4,,54,1993
media,17873416176295808,4772,41867,19,54207,227,12,61,,137,5079
media,17873513283439623,642,9461,8,28685,27,9,29,,81,711
media,17874637575226268,770,5578,3,8058,5,0,11,,40,789
media,17874790821382428,613,18262,6,39762,6,0,6,,120,631
media,17875224006474728,1542,25921,9,72180,19,1,18,,156,1600
media,17875305549556830,4944,76153,83,156624,344,10,67,,739,5460
media,17875432242435493,1517,33163,6,92033,16,6,8,,69,1549
media,17875712466373068,444,5855,3,12752,1,7,11,,133,459
media,17875818684418592,8034,126732,31,243750,38,3,61,,340,8191
media,17875935282426489,596,14231,8,20539,1,,4,,,609
media,17876082030438854,2203,46763,6,171845,17,5,13,,275,2242
media,17876143257531681,7133,90599,34,189618,47,1,70,,401,7319
media,17876157282223384,982,6509,3,13002,4,0,6,,34,995
media,17876203911440598,4431,48641,12,164672,25,2,40,,198,4512
media,17876553795302234,2158,21477,21,30635,8,1,4,,110,2191
media,17876683578488914,274,11157,2,17963,14,2,14,,36,308
media,17876931684538875,684,5439,4,12681,8,1,12,,70,720
media,17877021948200836,540,4674,3,6229,5,0,12,,122,560
media,17877202575319348,1644,7346,5,14437,9,1,6,,250,1664
media,17877984066446599,3932,42211,15,77926,126,20,72,,173,4181
media,17878019793201822,535,11103,5,15050,27,1,11,,32,578
media,17878061541327116,4073,22822,10,127094,10,12,5,,102,4112
media,17878366176526208,2024,43808,42,71047,53,,65,,,2192
media,17878482111460680,1355,34908,7,97788,30,1,11,,128,1407
media,17878638252487478,4393,50040,17,155136,48,45,28,,362,4510
media,17878717515410563,1179,38364,8,72657,10,,11,,,1219
media,17879164566391816,2524,56468,20,159769,67,8,21,,116,2646
media,17879241450405798,1245,32032,5,64961,33,5,16,,204,1313
media,17879316831440710,1453,38678,6,137630,17,0,8,,149,1486
media,17879701440308503,231,7636,1,15263,8,1,3,,36,243
media,17879836938459777,589,34722,9,88683,46,1,6,,241,652
media,17879955093433852,3074,74214,14,138365,44,,21,,,3168
media,17880072822482320,1227,36345,14,64893,57,,8,,,1318
media,17880173925480676,6438,79462,25,215887,33,5,86,,207,6609
media,17880272409443064,11957,103772,143,354005,104,6,35,,388,12322
media,17880359232431033,4361,72677,20,241349,102,13,37,,433,4523
media,17880378840452642,2416,47450,99,139454,141,20,19,,398,2691
media,17880664842442241,7674,165712,87,291134,68,,69,,,7944
media,17880929604268173,643,4105,3,7569,3,9,1,,44,650
media,17881023645507459,24616,334673,459,521216,8750,,136,,,35379
media,17881954446473589,1127,29880,4,78796,21,3,12,,106,1170
media,17883128034377173,90,6314,4,12050,13,0,11,,8,129
media,17883193287393358,2282,12011,11,43153,19,14,37,,531,2356
media,17883453750308575,2220,45911,16,88883,9,,19,,,2269
media,17883483333283737,254,14351,7,60003,3,1,3,,42,268
media,17883860265287630,1579,45392,14,80607,38,,18,,,1666
media,17884660170279220,2686,58097,19,122375,15,12,24,,185,2744
media,17884719597236616,724,6146,4,7882,27,2,5,,27,760
media,17884791345286980,343,10173,2,23523,16,5,28,,21,392
media,17885742888400332,10198,83150,36,277031,1187,13,83,,1268,11527
media,17886077145465981,219,3173,5,4747,6,,3,,,238
media,17886646923351943,1687,33693,11,94200,35,0,15,,210,1764
media,17886749349436601,2781,46156,9,123679,59,2,32,,188,2895
media,17887180983354815,3,16,0,24,0,,1,,,5
media,17887318500147769,6397,62524,46,110832,93,,48,,,6584
media,17887588992406999,318,4487,3,10535,0,2,11,,97,332
media,17887649559306716,3531,42911,20,124088,90,3,18,,324,3682
media,17888117724218768,486,10934,12,16087,3,1,2,,38,503
media,17888708823423465,2245,53891,18,147346,46,1,26,,350,2339
media,17889417243238282,2882,12242,17,18018,75,,38,,,3012
media,17889511845445896,112,5385,1,13038,0,1,12,,10,130
media,17889614508429702,403,35988,1,83470,12,2,4,,161,422
media,17889822780241514,4687,61066,64,101896,63,,51,,,4891
media,17889963828331792,723,16655,4,42092,4,0,1,,46,734
media,17890033518325791,993,21052,12,36496,18,,28,,,1057
media,17890329021127169,1141,8062,3,14952,5,0,10,,208,1159
